id,text,language
0,مقبول لكنه ليس الأفضل,ar
1,Absolutely fantastic experience!,en
2,من خیلی ناراحتم,fa
3,من خیلی ناراحتم,fa
4,Ich bin enttäuscht.,de
5,What a beautiful day!,en
6,مقبول لكنه ليس الأفضل,ar
7,This is terrible...,en
8,Das war unglaublich!,de
9,مقبول لكنه ليس الأفضل,ar
10,"Nicht schlecht, aber nicht gut.",de
11,I love this!,en
12,Ich bin enttäuscht.,de
13,I am so tired of this nonsense.,en
14,Absolutely fantastic experience!,en
15,Das war unglaublich!,de
16,I love this!,en
17,این بهترین روز من بود,fa
18,I love this!,en
19,"Nicht schlecht, aber nicht gut.",de
20,I love this!,en
21,I love this!,en
22,Could be better.,en
23,This is terrible...,en
24,Absolutely fantastic experience!,en
25,Absolutely fantastic experience!,en
26,मैं इससे खुश नहीं हूँ।,hi
27,خوب بود اما می‌توانست بهتر باشد,fa
28,What a beautiful day!,en
29,Absolutely fantastic experience!,en
30,من خیلی ناراحتم,fa
31,اليوم كان رائعًا,ar
32,من خیلی ناراحتم,fa
33,I am so tired of this nonsense.,en
34,मैं इससे खुश नहीं हूँ।,hi
35,خوب بود اما می‌توانست بهتر باشد,fa
36,मैं इससे खुश नहीं हूँ।,hi
37,Could be better.,en
38,این بهترین روز من بود,fa
39,This is terrible...,en
40,مقبول لكنه ليس الأفضل,ar
41,اليوم كان رائعًا,ar
42,यह ठीक था।,hi
43,این بهترین روز من بود,fa
44,من خیلی ناراحتم,fa
45,What a beautiful day!,en
46,I am so tired of this nonsense.,en
47,I love this!,en
48,Could be better.,en
49,خوب بود اما می‌توانست بهتر باشد,fa
50,Das war unglaublich!,de
51,I am so tired of this nonsense.,en
52,बहुत ही अच्छा प्रदर्शन!,hi
53,Das war unglaublich!,de
54,اليوم كان رائعًا,ar
55,Ich bin enttäuscht.,de
56,What a beautiful day!,en
57,I love this!,en
58,यह ठीक था।,hi
59,मैं इससे खुश नहीं हूँ।,hi
60,What a beautiful day!,en
61,मैं इससे खुश नहीं हूँ।,hi
62,من خیلی ناراحتم,fa
63,من خیلی ناراحتم,fa
64,اليوم كان رائعًا,ar
65,I love this!,en
